order_id,order_date,product,category,region,quantity,price,revenue,year,month,month_name,month_year,profit,order_size
100001,2023-04-13,Laptop,Electronics,Central,1,945,945,2023,4,April,2023-04,283.5,Medium
100002,2024-03-11,Phone,Electronics,South,3,841,2523,2024,3,March,2024-03,756.9,Large
100003,2023-09-28,Mouse,Accessories,South,4,71,284,2023,9,September,2023-09,85.2,Small
100004,2023-04-17,Mouse,Accessories,East,2,79,158,2023,4,April,2023-04,47.4,Small
100005,2023-03-13,Monitor,Electronics,South,1,207,207,2023,3,March,2023-03,62.099999999999994,Small
100006,2024-12-01,Tablet,Electronics,South,1,538,538,2024,12,December,2024-12,161.4,Medium
100007,2023-01-21,Headphones,Accessories,West,4,166,664,2023,1,January,2023-01,199.2,Medium
100008,2024-09-06,Smartwatch,Wearables,South,1,342,342,2024,9,September,2024-09,102.6,Medium
100009,2023-05-02,Monitor,Electronics,Central,1,236,236,2023,5,May,2023-05,70.8,Small
100010,2024-04-11,Laptop,Electronics,South,1,869,869,2024,4,April,2024-04,260.7,Medium
100011,2023-08-03,Phone,Electronics,Central,1,761,761,2023,8,August,2023-08,228.29999999999998,Medium
100012,2023-11-27,Monitor,Electronics,South,2,233,466,2023,11,November,2023-11,139.79999999999998,Medium
100013,2024-04-03,Tablet,Electronics,Central,2,468,936,2024,4,April,2024-04,280.8,Medium
100014,2023-03-29,Headphones,Accessories,South,2,134,268,2023,3,March,2023-03,80.39999999999999,Small
100015,2024-01-08,Tablet,Electronics,South,3,461,1383,2024,1,January,2024-01,414.9,Large
100016,2023-04-10,Smartwatch,Wearables,West,2,308,616,2023,4,April,2023-04,184.79999999999998,Medium
100017,2024-10-25,Mouse,Accessories,West,3,68,204,2024,10,October,2024-10,61.199999999999996,Small
100018,2023-05-11,Mouse,Accessories,South,4,85,340,2023,5,May,2023-05,102.0,Medium
100019,2024-10-23,Smartwatch,Wearables,West,1,288,288,2024,10,October,2024-10,86.39999999999999,Small
100020,2023-11-05,Laptop,Electronics,North,2,885,1770,2023,11,November,2023-11,531.0,Large
100021,2023-12-10,Keyboard,Accessories,North,4,111,444,2023,12,December,2023-12,133.2,Medium
100022,2024-05-06,Monitor,Electronics,East,1,236,236,2024,5,May,2024-05,70.8,Small
100023,2024-02-18,Laptop,Electronics,East,4,877,3508,2024,2,February,2024-02,1052.3999999999999,Large
100024,2024-01-21,Mouse,Accessories,North,5,22,110,2024,1,January,2024-01,33.0,Small
100025,2023-07-11,Tablet,Electronics,East,1,540,540,2023,7,July,2023-07,162.0,Medium
100026,2023-10-04,Headphones,Accessories,South,1,113,113,2023,10,October,2023-10,33.9,Small
100027,2023-06-10,Headphones,Accessories,South,3,92,276,2023,6,June,2023-06,82.8,Small
100028,2024-04-04,Phone,Electronics,East,1,801,801,2024,4,April,2024-04,240.29999999999998,Medium
100029,2023-11-10,Keyboard,Accessories,North,4,72,288,2023,11,November,2023-11,86.39999999999999,Small
100030,2023-01-22,Smartwatch,Wearables,Central,5,346,1730,2023,1,January,2023-01,519.0,Large
100031,2023-09-10,Smartwatch,Wearables,South,5,322,1610,2023,9,September,2023-09,483.0,Large
100032,2024-07-14,Keyboard,Accessories,West,2,45,90,2024,7,July,2024-07,27.0,Small
100033,2024-04-19,Mouse,Accessories,Central,2,44,88,2024,4,April,2024-04,26.4,Small
100034,2023-02-28,Keyboard,Accessories,West,4,84,336,2023,2,February,2023-02,100.8,Medium
100035,2024-05-25,Keyboard,Accessories,South,2,59,118,2024,5,May,2024-05,35.4,Small
100036,2024-11-12,Headphones,Accessories,East,5,160,800,2024,11,November,2024-11,240.0,Medium
100037,2024-04-20,Phone,Electronics,West,5,773,3865,2024,4,April,2024-04,1159.5,Large
100038,2024-11-30,Monitor,Electronics,North,3,263,789,2024,11,November,2024-11,236.7,Medium
100039,2023-07-09,Tablet,Electronics,West,1,483,483,2023,7,July,2023-07,144.9,Medium
100040,2024-11-17,Headphones,Accessories,North,1,92,92,2024,11,November,2024-11,27.599999999999998,Small
100041,2024-07-16,Phone,Electronics,Central,2,812,1624,2024,7,July,2024-07,487.2,Large
100042,2024-07-20,Headphones,Accessories,Central,4,166,664,2024,7,July,2024-07,199.2,Medium
100043,2023-09-01,Mouse,Accessories,East,1,75,75,2023,9,September,2023-09,22.5,Small
100044,2024-05-19,Phone,Electronics,North,1,767,767,2024,5,May,2024-05,230.1,Medium
100045,2023-05-11,Smartwatch,Wearables,East,5,306,1530,2023,5,May,2023-05,459.0,Large
100046,2024-04-29,Phone,Electronics,West,2,771,1542,2024,4,April,2024-04,462.59999999999997,Large
100047,2024-10-08,Mouse,Accessories,East,4,65,260,2024,10,October,2024-10,78.0,Small
100048,2023-01-21,Smartwatch,Wearables,West,3,253,759,2023,1,January,2023-01,227.7,Medium
100049,2023-06-16,Phone,Electronics,Central,4,755,3020,2023,6,June,2023-06,906.0,Large
100050,2023-10-01,Tablet,Electronics,East,2,451,902,2023,10,October,2023-10,270.59999999999997,Medium
100051,2024-01-23,Monitor,Electronics,Central,4,209,836,2024,1,January,2024-01,250.79999999999998,Medium
100052,2024-08-23,Laptop,Electronics,West,1,936,936,2024,8,August,2024-08,280.8,Medium
100053,2023-11-12,Keyboard,Accessories,North,4,61,244,2023,11,November,2023-11,73.2,Small
100054,2023-01-14,Phone,Electronics,South,2,802,1604,2023,1,January,2023-01,481.2,Large
100055,2023-08-30,Keyboard,Accessories,West,4,102,408,2023,8,August,2023-08,122.39999999999999,Medium
100056,2023-12-12,Headphones,Accessories,West,2,157,314,2023,12,December,2023-12,94.2,Medium
100057,2024-07-18,Headphones,Accessories,South,1,155,155,2024,7,July,2024-07,46.5,Small
100058,2023-12-06,Phone,Electronics,South,5,827,4135,2023,12,December,2023-12,1240.5,Large
100059,2023-04-02,Phone,Electronics,Central,4,790,3160,2023,4,April,2023-04,948.0,Large
100060,2024-01-02,Phone,Electronics,West,1,800,800,2024,1,January,2024-01,240.0,Medium
100061,2024-03-30,Tablet,Electronics,West,5,539,2695,2024,3,March,2024-03,808.5,Large
100062,2024-03-03,Tablet,Electronics,East,1,535,535,2024,3,March,2024-03,160.5,Medium
100063,2024-05-23,Monitor,Electronics,South,5,222,1110,2024,5,May,2024-05,333.0,Large
100064,2023-02-04,Phone,Electronics,North,5,814,4070,2023,2,February,2023-02,1221.0,Large
100065,2023-07-25,Tablet,Electronics,West,3,546,1638,2023,7,July,2023-07,491.4,Large
100066,2023-03-22,Keyboard,Accessories,East,5,109,545,2023,3,March,2023-03,163.5,Medium
100067,2024-07-15,Headphones,Accessories,North,5,160,800,2024,7,July,2024-07,240.0,Medium
100068,2024-01-23,Headphones,Accessories,Central,1,121,121,2024,1,January,2024-01,36.3,Small
100069,2023-01-02,Tablet,Electronics,East,2,500,1000,2023,1,January,2023-01,300.0,Large
100070,2024-01-25,Phone,Electronics,North,5,781,3905,2024,1,January,2024-01,1171.5,Large
100071,2024-07-19,Mouse,Accessories,West,5,45,225,2024,7,July,2024-07,67.5,Small
100072,2023-04-16,Tablet,Electronics,East,2,484,968,2023,4,April,2023-04,290.4,Medium
100073,2024-04-21,Laptop,Electronics,South,5,937,4685,2024,4,April,2024-04,1405.5,Large
100074,2024-12-03,Phone,Electronics,North,4,825,3300,2024,12,December,2024-12,990.0,Large
100075,2024-02-06,Smartwatch,Wearables,West,4,261,1044,2024,2,February,2024-02,313.2,Large
100076,2024-12-30,Monitor,Electronics,East,1,235,235,2024,12,December,2024-12,70.5,Small
100077,2024-07-09,Laptop,Electronics,North,3,907,2721,2024,7,July,2024-07,816.3,Large
100078,2023-06-11,Laptop,Electronics,Central,4,919,3676,2023,6,June,2023-06,1102.8,Large
